ID,material,sp_group_symbol,sp_group_number,nelements,z_max,a,b,c,alpha,beta,gamma,Nsites,hform,magnetization,stability-class,magnetic-class
mp-29819,Ba2Si3Ni,P-62m,189,3,56,11.47950961,11.47950961,3.88915506,90.0,90.0,120.0,18,-471.0556138888885,3.6048200006061116e-09,1,0
mp-2714,Pr2Au,Pnma,62,2,79,5.13435636,7.37021731,9.37854642,90.0,90.0,90.0,12,-537.8279099999995,8.453166451811124e-10,1,0
mp-1185317,LiBe2Pt,Fm-3m,225,3,78,5.53543134,5.53543134,5.53543134,90.0,90.0,90.0,16,-509.4753908333338,2.358335489455073e-09,1,0
mp-1223896,HgBrN,P4/mmm,123,3,80,4.387605,4.387605,4.228061,90.0,90.0,90.0,3,822.6581333333337,0.0245668176087286,0,1
mp-1019086,CN2,P-42_1m,113,2,7,3.313,3.313,4.748,90.0,90.0,90.0,6,373.9858224999999,2.110761203557245e-07,0,0
mp-1219086,SmCo4Ag,P-6m2,187,3,62,5.10438935,5.10438935,4.140454,90.0,90.0,120.0,6,63.726691388888895,0.057427639390627,0,1
MMD-74,Fe5Co2N,Pm,6,3,27,3.86352,3.85893,11.9323,90.0,99.12789,90.0,16,-23.4,0.179,1,1
NOVA-2038,Fe12Sc4,C2/m,12,2,26,9.60512,3.81971,6.15764,90.0,95.41606000000002,90.0,16,16.4293,0.081,0,1
mp-764086,V4OF11,P1,1,3,23,5.0307667,5.32016832,8.9412027,71.33197843000002,74.17542307,61.85662617,16,-3132.179353515625,0.0353930718636723,1,1
mp-1180644,Li2SnO6,P2_1/c,14,3,50,3.712031,5.739224,10.44076542,90.0,107.08363706999998,90.0,18,-983.4505860185188,0.0564397696295059,1,1
mp-1186066,Na3Ni,I4/mmm,139,2,28,4.631006,4.631006,8.897532,90.0,90.0,90.0,8,419.54960758620655,0.0001881380429416,0,0
mp-1093961,Sc2InCu,Immm,71,3,49,11.076586,12.23278,17.224202,90.0,90.0,90.0,8,2135.330935,0.003428020090816,0,0
mp-1210728,Mg(AuF6)2,P-4m2,115,3,79,5.963199,5.963199,7.036188,90.0,90.0,90.0,15,-1624.639786,9.160487222437052e-07,1,0
mp-1007975,CrNi3,Fm-3m,225,2,28,5.636224,5.636224,5.636224,90.0,90.0,90.0,16,110.9651400000002,0.0458730353526133,0,1
mp-1077768,CeAlAu,P6_3/mmc,194,3,79,4.52288487,4.522884870000001,7.56358813,90.0,90.0,120.0,6,-615.5324899999996,0.0112009720452731,1,1
mp-1093781,Nb2ReTc,Immm,71,3,75,8.976154,11.081144,15.154388,90.0,90.0,90.0,8,4360.077227499999,1.438288413629359e-07,0,0
MMD-3197,Ti2SiNi3,P6_3/mmc,194,3,28,4.79842194,4.798421939999999,7.50276497,90.0,90.0,120.0,12,-621.8,0.009,1,1
mp-22740,CeCuSi,P6_3/mmc,194,3,58,4.17310478,4.17310478,8.13941776,90.0,90.0,120.0,6,-538.43126,0.0167206674329157,1,1
mp-1221787,Mn8Nb3Si,P3m1,156,3,41,4.76371371,4.76371371,7.818691,90.0,90.0,120.0,12,-151.2109344540242,0.0152816411583205,1,1
mp-776655,Ti2O3,P-31c,163,2,22,5.15099367,5.15099367,9.47688404,90.0,90.0,120.0,20,-3225.231195583333,0.0184262163644565,1,1
mp-1216313,VNi,R-3m,166,2,28,2.5519838,2.5519838,12.74626195,90.0,90.0,120.0,6,-12.7958050000005,0.000262784332069,1,0
mp-1103567,Zr4NiP,P4/mcc,124,3,40,6.482559,6.482559,5.355384,90.0,90.0,90.0,12,-652.5255747222225,3.998180676438072e-06,1,0
mp-560127,K2MnF6,P6_3mc,186,3,25,5.66146971,5.661469710000001,9.20524309,90.0,90.0,120.0,18,-2894.2308426590043,0.0234815637103486,1,1
mp-1220635,Nb3Pd,Cmmm,65,2,46,3.4451849,4.43472494,9.07671397,90.0,90.0,90.0,8,-155.7851425000009,3.172815388227512e-08,1,0
mp-571448,Cs2PuCl6,P-3m1,164,3,94,7.52226328,7.52226328,6.04072939,90.0,90.0,120.0,9,-2329.986630651341,0.0135127354690091,1,1
mp-1017036,Mg6BiW,Amm2,38,3,83,6.242887,10.638192,5.1072,90.0,90.0,90.0,16,260.06960375000034,9.437338018549694e-06,0,0
mp-1222652,Li2MgPb,F-43m,216,3,82,6.84342452,6.84342452,6.84342452,90.0,90.0,90.0,16,-263.6451641666668,9.984573853557089e-09,1,0
mp-1183597,CaHo3,I4/mmm,139,2,67,5.08932,5.08932,10.129742,90.0,90.0,90.0,8,140.4008500000002,0.0001360547840995,0,0
mp-862424,Sc2TcNi,Fm-3m,225,3,43,6.37303356,6.37303356,6.37303356,90.0,90.0,90.0,16,-328.5461137499998,1.3907974457235028e-08,1,0
mp-1016835,CaRuO3,Pm-3m,221,3,44,3.929544,3.929544,3.929544,90.0,90.0,90.0,5,-2062.21859325,0.0315888862254791,1,1
mp-1189206,Pr(BIr)4,P4_2/n,86,3,77,7.722002,7.722002,3.988188,90.0,90.0,90.0,18,-561.0905218518525,1.6060103171695558e-05,1,0
mp-975822,PrNdZn2,Fm-3m,225,3,60,7.35952611,7.35952611,7.35952611,90.0,90.0,90.0,16,-312.8139481250001,8.027871763382544e-08,1,0
mp-864600,TbSnRh2,Fm-3m,225,3,65,6.6201311,6.6201311,6.6201311,90.0,90.0,90.0,16,-777.6269987499998,8.88442308745355e-05,1,0
mp-1190313,Dy(ClO2)3,P2/c,13,3,66,6.525281,7.838265,7.858084439999999,90.0,113.2811392,90.0,20,-737.8161617499999,0.0107689034351506,1,1
mp-257,DyIn,Pm-3m,221,2,66,3.74284633,3.74284633,3.74284633,90.0,90.0,90.0,2,-449.0616850000002,3.814380431302395e-09,1,0
mp-1079405,MnPRh,P-62m,189,3,45,5.99648222,5.99648222,3.681793,90.0,90.0,120.0,9,-537.566030421456,0.0803722223791839,1,1
mp-1018817,NdSe2,P4/nmm,129,2,60,4.1566671,4.1566671,8.59263766,90.0,90.0,90.0,6,-1919.8214757291664,2.8963528500185134e-08,1,0
mp-780960,Li5AuO4,C2/c,15,3,79,4.779902,4.78043213,10.05696015,100.57354519,100.80879611999998,102.79774394,20,1021.3194353333332,0.0093209592481133,0,1
mp-1185210,LaSbTe,Pnma,62,3,57,4.4106862,4.45400307,19.46518268,90.0,90.0,90.0,12,-1480.192354722223,2.876587098955761e-09,1,0
MMD-1281,AlFe,P6/mmm,191,2,26,2.58887591,2.58887591,4.77009221,90.0,90.0,120.0,2,485.3,0.085,0,1
mp-1095913,LiLaIn2,Immm,71,3,57,11.9347234,12.75524106,18.02472588,90.0,90.0,90.0,8,1486.1378029166665,0.0029155473876316,0,0
mp-1186515,PrCuO3,Pm-3m,221,3,59,3.846484,3.846484,3.846484,90.0,90.0,90.0,5,-2316.2598542500004,2.865204649160107e-05,1,0
mp-1221668,MnCrSb2,P-3m1,164,3,51,4.04971159,4.04971159,5.678574,90.0,90.0,120.0,4,-60.606401982759,0.0715092702689085,1,1
mp-1071453,Nd2Bi,I4/mmm,139,2,83,4.6190778,4.6190778,18.14685448,90.0,90.0,90.0,12,-686.2355366666666,2.0558969930469813e-07,1,0
mp-31063,NdNiO2,P4/mmm,123,3,60,3.962147,3.962147,3.268497,90.0,90.0,90.0,4,-2284.91958375,0.0191503646198646,1,1
NOVA-588,Fe12Si4,I4/mmm,139,2,26,3.94551,3.94551,11.22538,90.0,90.0,90.0,16,-303.2827,0.11,1,1
mp-20380,HoMnSi,Pnma,62,3,67,4.079017,6.948079,7.586677,90.0,90.0,90.0,12,-498.134859310344,0.0440752439273718,1,1
mp-867795,ScNbTc2,Fm-3m,225,3,43,6.40242798,6.40242798,6.40242798,90.0,90.0,90.0,16,-255.2386987500004,1.52414359406925e-09,1,0
mp-1217151,Ti2Cr3Si,P6_3/mmc,194,3,24,4.79868221,4.79868221,8.051453,90.0,90.0,120.0,12,-328.0657027777778,0.0002382796746494,1,0
mp-1181499,CuO2,Cmcm,63,2,29,2.82523,10.421494,4.343424,90.0,90.0,90.0,12,-499.1972108333336,1.6092716170627746e-05,1,0
mp-867924,LiCdPd2,Fm-3m,225,3,48,6.28332914,6.28332914,6.28332914,90.0,90.0,90.0,16,-445.3208333333331,1.2899727862730905e-08,1,0
NOVA-1022,Fe7Ta1,Cmmm,65,2,73,5.8333,8.1638,4.07155,90.0,90.0,90.0,16,-53.7281,0.151,1,1
mp-1754,UHg2,P6/mmm,191,2,92,5.18389573,5.18389573,3.032676,90.0,90.0,120.0,3,108.14695,0.0485422184252645,0,1
MMD-3606,CrN,F-43m,216,2,24,4.4000836,4.4000836,4.4000836,90.0,90.0,90.0,8,-502.2,0.088,1,1
mp-1223765,HoCu4Ni,P-6m2,187,3,67,4.90899793,4.908997930000001,4.025668,90.0,90.0,120.0,6,-234.0585616666673,1.1902706694070922e-09,1,0
MMD-2732,FeNiPt2,P4/mmm,123,3,78,3.87152956,3.87152956,3.68556665,90.0,90.0,90.0,4,-212.6,0.087,1,1
mp-961648,KBaP,F-43m,216,3,56,7.364686,7.364686,7.364686,90.0,90.0,90.0,12,-247.2948221111111,4.494176603236835e-06,1,0
mp-1018079,CrGaP2,P-4m2,115,3,31,3.859847,3.859847,5.469832,90.0,90.0,90.0,4,-88.6157910416667,0.0367146219444823,1,1
mp-1183887,Eu2BiAu,Fm-3m,225,3,83,7.80649822,7.80649822,7.80649822,90.0,90.0,90.0,16,-870.7566600000005,0.1177103295712712,1,1
mp-9978,ErSe2,P4/nmm,129,2,68,4.0334008,4.0334008,8.22222359,90.0,90.0,90.0,6,-1836.1626732291672,6.728379310435321e-09,1,0
mp-1093544,TaMnOs2,Immm,71,3,76,9.666422,10.665526,15.082996,90.0,90.0,90.0,8,4048.891148017241,0.0085735039037839,0,0
mp-977583,LiNpIr2,Fm-3m,225,3,93,6.419284,6.419284,6.419284,90.0,90.0,90.0,16,-143.7324455208326,0.0011464551750674,1,0
mp-1222504,Mn12Ge4N3,P4/m,83,3,32,5.50755018,5.50755018,8.0974359,90.0,90.0,90.0,19,-263.11616474591773,0.1653639297079191,1,1
mp-1185022,K3Ta,Fm-3m,225,2,73,9.01564,9.01564,9.01564,90.0,90.0,90.0,16,1410.6850702499996,0.0286737898540624,0,1
mp-2776,Ga2Au,Fm-3m,225,2,79,6.10763908,6.10763908,6.10763908,90.0,90.0,90.0,12,-238.1150049999997,1.0533947423054932e-08,1,0
mp-1182887,AlO3,P-1,2,2,13,5.48695,6.09967626,6.955404529999999,89.73397089,94.36283973999998,99.13642699,16,-1462.4840753125,0.034911022119322,1,1
mp-11461,HoHg2,P6/mmm,191,2,80,4.87373965,4.873739650000001,3.43846283,90.0,90.0,120.0,3,-368.4251766666667,0.0002702488030822,1,0
mp-22636,TaNiGe,Pnma,62,3,73,3.75179829,6.26086406,7.15151676,90.0,90.0,90.0,12,-427.4716991666665,1.3929769860288557e-07,1,0
mp-1218370,SrCO3,R32,155,3,38,5.1747905,5.1747905,9.64248575,90.0,90.0,120.0,15,-2669.071034083333,5.721832456437119e-06,1,0
mp-574239,Tm3AlC,Pm-3m,221,3,69,5.301577,5.301577,5.301577,90.0,90.0,90.0,5,1456.0400645000002,4.321859526958202e-07,0,0
mp-778079,BaYF5,P4/mmm,123,3,56,3.906738,3.906738,6.763977,90.0,90.0,90.0,7,-4303.609232738097,1.16238648070746e-08,1,0
mp-1184103,DyThRu2,Fm-3m,225,3,90,6.9346661,6.9346661,6.9346661,90.0,90.0,90.0,16,-427.7165199999997,3.034616730267593e-06,1,0
mp-961660,TiFeSe,F-43m,216,3,34,5.61932,5.61932,5.61932,90.0,90.0,90.0,12,-740.1904818923614,3.954014771691467e-06,1,0
mp-30787,MoRh3,P6_3/mmc,194,2,45,5.46647717,5.466477170000001,4.34577824,90.0,90.0,120.0,8,-235.0374874999996,2.667521849643669e-09,1,0
mp-1023510,YMg15,P-6m2,187,2,39,6.47979256,6.47979256,10.2780573,90.0,90.0,120.0,16,-1.6951585416664,1.0702769134458802e-09,1,0
mp-1179847,Pt(NCl)2,Pmn2_1,31,3,78,5.209054,9.201537,9.42545,90.0,90.0,90.0,20,1197.3359875,0.0177274150578263,0,1
mp-1026784,LiMg14Sb,P-6m2,187,3,51,6.35703932,6.35703932,10.42847971,90.0,90.0,120.0,16,-41.73561083333311,1.3369461241507192e-05,1,0
mp-36940,Mg(CN)2,P4_2nm,102,3,12,6.236448,6.236448,6.236665,90.0,90.0,90.0,10,-237.5908940000002,3.6200698415859033e-06,1,0
mp-1185221,KEu3,I4/mmm,139,2,63,5.837252,5.837252,12.098014,90.0,90.0,90.0,8,205.0690042500003,0.1066995110780369,0,1
mp-1071835,DyCu2,Imma,74,2,66,4.27406332,6.7348994,7.25386775,90.0,90.0,90.0,12,-270.00991000000005,1.915659391120249e-09,1,0
mp-1184206,GaSiO3,Pm-3m,221,3,31,3.576533,3.576533,3.576533,90.0,90.0,90.0,5,-2047.0392807500004,0.000162329509258,1,0
mp-756118,TbSmO3,Pnma,62,3,65,5.829079,6.07813,8.507765,90.0,90.0,90.0,20,-3840.82842525,7.962067048975192e-09,1,0
mp-1225305,EuPaO4,P4/mmm,123,3,91,3.81125957,3.81125957,5.46626558,90.0,90.0,90.0,6,-3841.380955833333,0.0755654786267887,1,1
mp-1093748,Rb2AuI,Immm,71,3,79,12.93447,13.246318,18.293156,90.0,90.0,90.0,8,-593.7421462499999,3.041246212304034e-07,1,0
mp-1096575,AlCr2W,Immm,71,3,74,10.247062,10.956848,14.475798,90.0,90.0,90.0,8,3783.939207500001,0.0184584997701893,0,1
mp-1093541,Ti2CoRu,Immm,71,3,44,8.229464,9.677832,14.069456,90.0,90.0,90.0,8,2932.771567083333,3.2716401287684895e-07,0,0
mp-1095797,HgBiPb2,Immm,71,3,83,12.724758,12.751952,18.095724,90.0,90.0,90.0,8,969.63534125,0.0006813184575575,0,0
mp-2388,CdTe,Fm-3m,225,2,52,6.133128,6.133128,6.133128,90.0,90.0,90.0,8,-496.03555333333287,3.2943330736666975e-08,1,0
mp-770352,Eu2NiO4,I4/mmm,139,3,63,3.794964,3.794964,12.24485,90.0,90.0,90.0,14,-2533.924202142858,0.1587106418895418,1,1
mp-1176438,MnF3,P2_1/m,11,2,25,5.418349,7.802598,5.41886508,90.0,90.00966408,90.0,16,-2744.3479688577577,0.0698401955767136,1,1
MMD-2232,Fe2AsP,Pmc2_1,26,3,33,3.15826797,5.91243924,5.30109885,90.0,90.0,90.0,8,-355.2,0.019,1,1
mp-1187571,YbHoPt2,Fm-3m,225,3,78,6.83290746,6.83290746,6.83290746,90.0,90.0,90.0,16,-1189.0372575,4.263068307130044e-08,1,0
mp-676089,Fe2CoSe4,P1,1,3,34,4.671363,5.06173866,5.89686891,114.58416661,112.70171313,89.4063894,7,-291.5945334821422,0.0280242593113289,1,1
mp-20336,USn3,Pm-3m,221,2,92,4.67700367,4.67700367,4.67700367,90.0,90.0,90.0,4,-124.9700037500005,0.0247507739505404,1,1
mp-1208660,SmCrSb3,Pbcm,57,3,62,6.086664,6.231522,13.037691,90.0,90.0,90.0,20,-560.7131845000005,0.0176313588096139,1,1
mp-801665,V3OF11,P1,1,3,23,5.42947933,5.99007629,7.325899999999999,94.54921316,99.24876578,97.52179481,15,-2251.9089584166663,0.0086241059975506,1,1
MMD-1996,TiCo2Ge,Fm-3m,225,3,32,5.84556518,5.84556518,5.84556518,90.0,90.0,90.0,16,-493.7,0.04,1,1
mp-30866,Rh3W,P6_3/mmc,194,2,74,5.47692626,5.47692626,4.34369129,90.0,90.0,120.0,8,-262.08397125,2.4813881196443985e-08,1,0
mp-1094763,MgCd2,Cmcm,63,2,48,3.20314887,15.71233888,5.01855562,90.0,90.0,90.0,12,-90.4003533333333,2.3754973368567667e-09,1,0
mp-1237963,TbMgSe3,C2/m,12,3,65,7.497184,12.64753,6.88420953,90.0,117.37642816,90.0,20,-1393.9667314062506,1.6802958474870013e-07,1,0
mp-13122,CeGe3Ir,I4mm,107,3,77,4.41820057,4.41820057,10.06819733,90.0,90.0,90.0,10,-655.6120559999996,0.0099874583909511,1,1
mp-866845,CaSnS3,Ima2,46,3,50,6.887932,7.008814,9.857986,90.0,90.0,90.0,20,-1223.799770875,2.492086463494946e-07,1,0
mp-1017054,Mg6WC,Amm2,38,3,74,5.423086,10.74875,4.83207,90.0,90.0,90.0,16,824.1416815624998,3.384657282737685e-05,0,0
mp-1023485,Mg6AlZn,Amm2,38,3,30,6.187102,10.796232,4.983683,90.0,90.0,90.0,16,14.1923499999998,5.26949761415701e-06,0,0
mp-1189619,EuAl,Pmmn,59,2,63,5.75072286,9.4778015,9.97517117,90.0,90.0,90.0,20,-299.37583000000103,0.1350146419540555,1,1
mp-1186307,NdHoMg2,Fm-3m,225,3,67,7.6626951,7.6626951,7.6626951,90.0,90.0,90.0,16,-92.2875193750001,4.969665561862343e-07,1,0
mp-795937,Li4MoO5,P-1,2,3,42,5.134602,5.18051613,7.85570161,102.46460971,108.64301423,101.38362918,20,1073.8005507916669,0.0130003152489394,0,1
mp-975256,Ho3Hg,Pm-3m,221,2,80,4.786948,4.786948,4.786948,90.0,90.0,90.0,4,-148.97278875,0.0082550746743556,1,0
NOVA-1819,Fe1Pt2,P-3m1,164,2,78,4.35736,4.35736,2.71387,90.0,90.0,120.0,3,-94.725,0.083,1,1
mp-1183221,BIrO3,Pm-3m,221,3,77,3.415662,3.415662,3.415662,90.0,90.0,90.0,5,-294.2711310833331,0.0001874595477583,1,0
